activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2018,5493006VSECR4GWFB307,47894,VA,51059,51059481400,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,1,71,2,2,1,1,2,2,2,195000.0,87.73,4.375,0.57,2,5597.89,NA,0.0,,772.1,360,NA,NA,2,2,2,2,225000,1,1,3,5,1,NA,80,50%-60%,1,10,1,14,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,45-54,9999,No,NA,2,1,3,,,,,10,,,,6536,31.2600000000000016,114900,128,2025,2234,39
2018,5493006VSECR4GWFB307,33660,AL,01097,01097002000,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,71,2,2,1,1,2,2,2,225000.0,96.5,4.75,1.279,2,6557.56,NA,895.0,,,360,NA,NA,2,2,2,2,225000,1,1,3,5,1,NA,58,50%-60%,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,45-54,9999,No,NA,2,2,3,,,,,10,,,,1704,26.879999999999999,59800,207,516,715,39
2018,5493006VSECR4GWFB307,33660,AL,01097,01097006502,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,71,2,2,1,1,2,2,2,175000.0,96.5,4.625,1.166,2,5121.7,NA,895.0,,,360,NA,NA,2,2,2,2,175000,1,1,3,5,1,NA,49,44,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,25-34,9999,No,NA,2,2,3,,,,,10,,,,11578,11.1400000000000006,59800,132,3702,4556,17
2018,5493006VSECR4GWFB307,12060,GA,13135,13135050727,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,71,2,2,1,1,2,2,2,155000.0,86.0,4.5,0.827,2,5500.31,NA,0.0,,31.16,360,NA,NA,2,2,2,2,175000,1,1,3,5,1,NA,29,49,1,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,65-74,>74,Yes,Yes,2,1,3,,,,,10,,,,10490,37.3400000000000034,74400,140,2907,3233,18
2018,5493006VSECR4GWFB307,19300,AL,01003,01003011403,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,71,2,2,1,1,2,2,2,285000.0,96.5,4.375,1.152,2,12635.71,NA,7773.81,,7384.3,360,NA,NA,2,2,2,2,285000,1,1,3,5,1,NA,80,43,1,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,35-44,45-54,No,No,2,1,3,,,,,10,,,,9461,10.3599999999999994,69400,103,2315,3651,14
2018,5493006VSECR4GWFB307,45300,FL,12101,12101031603,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Joint,Joint,1,1,2,1,1,1,2,2,2,285000.0,95.0,4.875,0.644,2,5483.3,NA,1609.45,219.45,,360,NA,NA,2,2,2,2,305000,1,1,3,5,1,NA,104,20%-<30%,1,9,2,,,,,2,,,,,1,1,3,,,,,5,,,,,1,1,1,2,1,1,25-34,25-34,No,No,2,2,1,,,,,10,,,,7993,43.1799999999999997,63900,162,1827,2581,0
2018,5493006VSECR4GWFB307,35840,FL,12081,12081002007,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,3,0,2,3,1,1,2,2,2,325000.0,100.0,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,325000,1,1,3,5,1,NA,93,50%-60%,1,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,3,5,2,4,45-54,9999,No,NA,2,1,1,,,,,9,,,,5947,12.0399999999999991,70300,155,2065,2663,11
2018,5493006VSECR4GWFB307,99999,LA,22053,22053000200,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,71,2,2,1,1,2,2,2,195000.0,96.5,4.5,1.056,2,7365.91,NA,1685.0,,,360,NA,NA,2,2,2,2,195000,1,1,3,5,1,NA,88,43,2,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,25-34,25-34,No,No,2,2,3,,,,,10,,,,4675,8.25999999999999979,49500,148,1459,1956,27
2018,5493006VSECR4GWFB307,40660,GA,13115,13115000400,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,71,2,3,1,1,2,2,2,135000.0,100.0,4.25,-0.017,2,5752.2,NA,0.0,,10.0,360,NA,NA,2,2,2,2,135000,1,1,3,5,1,NA,55,43,2,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,>74,>74,Yes,Yes,2,2,1,,,,,10,,,,7517,28.1000000000000014,54400,98,1809,3090,34
2018,5493006VSECR4GWFB307,31140,KY,21185,21185030502,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,3,2,1,1,1,2,2,2,305000.0,68.47,4.125,-0.26,2,5052.77,NA,2902.27,1442.27,6.5,360,NA,NA,2,2,2,2,455000,1,1,3,5,1,NA,171,30%-<36%,1,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,35-44,35-44,No,No,2,2,4,,,,,10,,,,5173,5.71999999999999975,70400,166,1474,1602,21
2018,5493006VSECR4GWFB307,99999,TN,47185,47185935200,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,2,1,1,2,2,2,125000.0,96.5,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,125000,1,1,3,5,1,NA,34,38,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,2,2,3,,,,,9,3,,,3903,1.31000000000000005,50100,100,1287,1764,28
2018,5493006VSECR4GWFB307,28940,TN,47093,47093005903,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,1,1,1,2,2,2,455000.0,92.45,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,495000,1,1,3,5,1,NA,141,50%-60%,2,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,NA,2,2,1,,,,,1,,,,3958,10.6899999999999995,64100,152,1082,1657,15
2018,5493006VSECR4GWFB307,45300,FL,12057,12057013908,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,9,2,3,1,1,2,2,2,195000.0,100.0,4.5,0.089,2,6348.5,NA,0.0,674.56,,360,NA,NA,2,2,2,2,195000,1,1,3,5,1,NA,38,50%-60%,1,10,1,14,,,,5,,,,,2,4,5,,,,,8,,,,,1,4,1,5,1,4,25-34,9999,No,NA,2,2,1,,,,,10,,,,8891,45.3699999999999974,63900,110,2386,3739,14
2018,5493006VSECR4GWFB307,16860,TN,47065,47065003300,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,71,2,2,1,1,2,2,2,195000.0,96.5,4.75,1.257,2,3788.06,NA,0.0,,,360,NA,NA,2,2,2,2,195000,1,1,3,5,1,NA,76,36,3,10,2,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,2,5,2,4,45-54,9999,No,NA,2,2,3,,,,,10,,,,6839,80.6599999999999966,61700,82,1747,2968,56
2018,5493006VSECR4GWFB307,25060,MS,28047,28047003303,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,1,2,1,1,1,2,2,2,275000.0,80.0,4.125,0.228,2,2887.5,NA,975.0,,,180,NA,NA,2,2,2,2,345000,1,1,3,5,1,NA,203,38,1,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,35-44,45-54,No,No,2,2,1,,,,,10,,,,6215,34.3200000000000003,55100,98,1117,1854,16
2018,5493006VSECR4GWFB307,29340,LA,22019,22019001903,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,71,2,2,1,1,2,2,2,295000.0,96.25,4.75,1.297,2,5154.01,NA,0.0,,,360,NA,NA,2,2,2,2,305000,1,1,3,5,1,NA,90,50%-60%,2,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,25-34,25-34,No,No,2,2,3,,,,,10,,,,6877,26.1700000000000017,60000,125,1668,2156,26
2018,5493006VSECR4GWFB307,13820,AL,01073,01073012002,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,3,0,2,2,1,1,2,2,2,145000.0,91.64,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,155000,1,1,3,5,1,NA,32,50%-60%,2,10,2,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,2,5,2,4,55-64,9999,Yes,NA,2,2,3,,,,,9,,,,6919,49.259999999999998,69400,108,2066,2497,25
2018,5493006VSECR4GWFB307,26620,AL,01089,01089002802,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,71,2,2,1,1,2,2,2,165000.0,96.5,4.125,0.627,2,3332.1,NA,0.0,1482.97,,360,NA,NA,2,2,2,2,165000,1,1,3,5,1,NA,95,30%-<36%,3,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,25-34,25-34,No,No,2,1,3,,,,,10,,,,7007,17.0100000000000016,78700,100,2221,2841,26
2018,5493006VSECR4GWFB307,31140,KY,21111,21111010307,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,71,2,1,1,1,2,2,2,215000.0,90.0,4.125,0.377,2,620.0,NA,0.0,47.3,,360,NA,NA,2,2,2,2,235000,1,1,3,5,1,NA,109,20%-<30%,2,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,25-34,25-34,No,No,2,1,1,,,,,10,,,,5940,16.9699999999999989,70400,186,1872,2011,12
2018,5493006VSECR4GWFB307,12940,LA,22063,22063040600,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,1,2,1,32,1,2,2,2,125000.0,80.0,5.5,1.084,2,3717.0,NA,1480.0,,,360,NA,NA,2,2,2,2,165000,1,1,3,5,1,NA,46,42,3,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,25-34,9999,No,NA,2,2,1,,,,,10,,,,8494,23.5199999999999996,74500,99,2111,3576,30
2018,5493006VSECR4GWFB307,12940,LA,22063,22063040804,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,71,2,2,1,1,2,2,2,155000.0,96.5,4.375,0.905,2,5991.04,NA,875.0,,997.34,360,NA,NA,2,2,2,2,165000,1,1,3,5,1,NA,38,40,7,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,45-54,9999,No,NA,2,1,3,,,,,10,,,,16628,15.7400000000000002,74500,124,4838,5690,13
2018,5493006VSECR4GWFB307,26620,AL,01089,01089010502,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,71,2,3,1,1,2,2,2,235000.0,100.0,4.375,-0.185,2,0.0,NA,0.0,,150.0,360,NA,NA,2,2,2,2,235000,1,1,3,5,1,NA,167,43,1,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,45-54,45-54,No,No,2,2,1,,,,,10,,,,3545,51.4799999999999969,78700,77,984,1216,19
2018,549300GS2JP8CQK0MD31,20260,MN,27017,27017070600,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,5,0,2,1,31,2,2,2,2,25000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,180,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,34,NA,9,9,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,55-64,9999,No,NA,1,1,6,,,,,10,,,,3361,4.25,71400,90,1160,2131,37
2018,5493006VSECR4GWFB307,37860,FL,12113,12113010503,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,3,2,1,32,1,2,2,2,95000.0,75.0,5.625,1.142,2,807.43,NA,0.0,,46.9,360,NA,NA,2,2,2,2,125000,1,1,3,5,1,NA,52,20%-<30%,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,35-44,9999,No,NA,2,2,2,,,,,10,,,,5899,14.4100000000000001,65200,96,1393,2232,27
2018,5493006VSECR4GWFB307,26620,AL,01089,01089010623,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,71,2,2,32,1,2,2,2,275000.0,85.0,4.5,0.678,2,6727.88,NA,0.0,,2179.0,360,NA,NA,2,2,2,2,315000,1,1,3,5,1,NA,140,30%-<36%,2,10,2,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,2,5,2,4,35-44,9999,No,NA,2,2,3,,,,,10,,,,6459,30.0799999999999983,78700,161,2085,2443,14
2018,5493006VSECR4GWFB307,31140,KY,21211,21211040200,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,71,2,2,1,1,2,2,2,185000.0,90.0,4.875,1.09,2,3785.85,NA,0.0,799.46,,360,NA,NA,2,2,2,2,205000,1,1,3,5,1,NA,75,37,3,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,45-54,9999,No,NA,2,1,3,,,,,10,,,,7198,19.4200000000000017,70400,110,2134,2664,26
2018,5493006VSECR4GWFB307,12060,GA,13223,13223120103,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,71,2,2,1,1,2,2,2,205000.0,81.2,4.625,0.816,2,4047.5,NA,0.0,,3.61,360,NA,NA,2,2,2,2,255000,1,1,3,5,1,NA,56,50%-60%,2,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,35-44,>74,No,Yes,2,1,3,,,,,10,,,,9652,13.1699999999999999,74400,118,2535,2899,14
2018,5493006VSECR4GWFB307,36100,FL,12083,12083001006,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,3,2,1,1,1,2,2,2,175000.0,74.03,4.625,0.222,2,2961.65,NA,895.0,,,360,NA,NA,2,2,2,2,245000,1,1,3,5,1,NA,72,48,1,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,55-64,65-74,No,Yes,2,2,1,,,,,10,,,,10074,29.8299999999999983,53400,115,3348,4005,16
2018,5493006VSECR4GWFB307,45300,FL,12057,12057011608,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,3,0,2,2,1,1,2,2,2,255000.0,95.0,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,265000,1,1,3,5,1,NA,97,46,2,9,1,,,,,1,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,45-54,45-54,No,No,2,1,3,,,,,9,,,,1182,38.9200000000000017,63900,187,339,437,22
2018,5493006VSECR4GWFB307,19460,AL,01103,01103005405,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Joint,1,1,2,1,31,1,2,2,2,195000.0,76.71,3.625,0.014,2,5220.0,NA,3273.0,,,180,NA,NA,2,2,2,2,245000,1,1,3,5,1,NA,114,30%-<36%,2,9,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,1,2,2,2,55-64,55-64,No,No,2,2,1,,,,,10,,,,4933,9.76999999999999957,58700,85,1626,2161,33
2018,5493006VSECR4GWFB307,99999,KY,21097,21097950500,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,White,Female,1,71,1,2,1,1,2,2,2,105000.0,96.5,4.75,1.279,2,3282.36,NA,38.25,38.25,,360,NA,NA,2,2,2,2,105000,1,1,3,5,1,NA,97,20%-<30%,1,10,3,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,45-54,9999,No,NA,2,1,3,,,,,10,,,,4624,4.65000000000000036,49400,134,1184,1837,50
2018,5493006VSECR4GWFB307,12940,LA,22063,22063040806,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Joint,1,1,2,1,31,1,2,2,2,365000.0,68.76,4.875,0.44,2,5939.78,NA,3224.63,460.63,,360,NA,NA,2,2,2,2,555000,1,1,3,5,1,NA,60,>60%,3,9,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,1,2,2,2,65-74,65-74,Yes,Yes,2,2,1,,,,,10,,,,7069,5.21999999999999975,74500,120,2008,2829,20
2018,5493006VSECR4GWFB307,28940,TN,47093,47093005301,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,71,2,2,1,1,2,2,2,65000.0,85.0,5.0,1.465,2,4434.13,NA,1460.0,,,360,NA,NA,2,2,2,2,75000,1,1,3,5,1,NA,63,38,3,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,NA,2,2,3,,,,,10,,,,3941,3.87999999999999989,64100,103,1370,1650,32
2018,5493006VSECR4GWFB307,45300,FL,12101,12101032104,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Female,1,71,2,2,1,1,2,2,2,175000.0,95.0,4.5,0.989,2,5035.21,NA,0.0,,,360,NA,NA,2,2,2,2,185000,1,1,3,5,1,NA,49,50%-60%,3,10,1,,,,,5,,,,,2,4,4,5,,,,8,,,,,2,4,2,5,2,4,45-54,9999,No,NA,2,1,3,,,,,10,,,,4434,43.6899999999999977,63900,122,1235,1797,14
2018,5493006VSECR4GWFB307,29180,LA,22055,22055002001,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,71,1,3,1,1,2,2,2,185000.0,100.0,4.75,0.26,2,0.0,NA,0.0,,25.0,360,NA,NA,2,2,2,2,185000,1,1,3,5,1,NA,48,47,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,2,2,1,,,,,10,,,,6047,44.1199999999999974,64800,93,1315,2159,28
2018,5493006VSECR4GWFB307,24860,SC,45045,45045003012,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,71,2,2,1,1,2,2,2,135000.0,96.5,4.5,1.005,2,2859.25,NA,0.0,,,360,NA,NA,2,2,2,2,145000,1,1,3,5,1,NA,31,50%-60%,7,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,2,2,3,,,,,10,,,,5629,30.8399999999999999,64200,106,1342,1859,30
